stamp;cout;dig
FCVC+;1;dig11
QIMF;1;dig12
+Y+ANI;1;dig11
+GGGNNN+VLBARBA;1;dig11
+FCCVFS+;1;dig5
QIMF.;1;dig2
QNDPRIM;1;dig12
PM+;1;dig4
+F+;1;dig5
LVPXIIII;1;dig11
QNDPRI;1;dig12
FFBEQ+;1;dig4
MFSGNQIAFSEN;1;dig11
QIMFS;1;dig1
MAIQ;1;dig7
FXIII;1;dig5
+FQF+;1;dig12
+AVGCC;1;dig10
.IM;1;dig9
IVN+;1;dig10
+FCCV+;1;dig5
PANRVF;3;dig2
IV+;1;dig10
LFCFP+;1;dig5
LOA;1;dig10
PM+LI.;1;dig11
.ONTIC+;1;dig4
PQA.;1;dig8
B+;1;dig5
+FERREO;1;dig5
+FERREO;1;dig12
LIDFITAL;1;dig1
ACIR+;1;dig11
+S.;1;dig5
O;2;dig8
O;1;dig10
LIDFITA;1;dig8
+VNIMELISSI.TMELISSE;1;dig5
NCCHREST;1;dig3
+FB+;1;dig5
+CVF+;1;dig11
IVN;1;dig8
+F+CAF+;1;dig4
MF+;1;dig4
CF+;1;dig11
+P;1;dig11
CAEFFM;3;dig12
PC+P;1;dig5
CITP.;1;dig8
+C;1;dig8
+F;1;dig5
+I;2;dig5
+I;1;dig11
+O;1;dig5
+O;1;dig8
+S;1;dig5
+S;1;dig11
+P;1;dig5
+P;1;dig11
TFAMV;7;dig4
TFAMV;2;dig5
+T;1;dig4
+T;3;dig11
+X;1;dig5
